EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1001,41,No,Travel_Rarely,Research & Development,17,5,Life Sciences,2,Female,2,3,Manager,1,Married,13442,19292,2,Yes,19,3,3,0,10,4,2,4,2,4,4
1002,43,No,Travel_Rarely,Human Resources,3,3,Marketing,1,Female,2,2,Human Resources,4,Single,4980,10817,2,Yes,15,3,3,0,2,2,3,0,0,0,0
1003,40,No,Travel_Rarely,Research & Development,1,3,Medical,3,Female,3,1,Research Scientist,2,Married,6220,2852,0,No,14,3,4,0,1,3,2,0,0,0,0
1004,31,No,Travel_Rarely,Research & Development,2,1,Medical,3,Female,3,1,Manufacturing Director,2,Married,17793,18483,1,No,14,3,2,2,10,1,4,5,5,1,0
1005,43,No,Travel_Rarely,Sales,20,3,Technical Degree,4,Male,3,3,Sales Representative,3,Divorced,4861,10870,0,No,17,3,4,0,6,4,4,5,5,3,5
1006,47,No,Non-Travel,Sales,1,3,Life Sciences,3,Female,2,3,Sales Executive,3,Married,9550,5770,5,No,17,3,2,1,19,5,3,14,2,0,2
1007,42,Yes,Travel_Rarely,Sales,3,4,Life Sciences,4,Male,4,2,Sales Representative,4,Married,2700,20012,3,No,14,3,1,0,14,3,2,5,5,0,2
1008,41,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,4,1,Healthcare Representative,4,Single,8661,15178,4,No,11,3,2,0,24,1,3,22,0,0,0
1009,30,Yes,Travel_Rarely,Research & Development,16,4,Medical,4,Male,1,1,Manufacturing Director,4,Single,14257,19962,2,No,12,3,4,1,1,4,3,0,0,0,0
1010,38,Yes,Non-Travel,Research & Development,24,1,Technical Degree,2,Female,3,2,Laboratory Technician,4,Married,3318,4360,2,No,14,4,3,0,7,3,3,0,0,0,0
1011,29,No,Travel_Rarely,Sales,4,2,Other,4,Male,3,1,Sales Representative,2,Single,3183,4508,3,No,19,3,4,1,3,3,4,0,0,0,0
1012,36,No,Non-Travel,Human Resources,24,2,Life Sciences,4,Female,3,2,Human Resources,3,Single,4129,15270,5,No,14,2,3,1,4,0,4,1,1,0,1
1013,22,Yes,Travel_Rarely,Research & Development,1,1,Medical,2,Female,3,3,Research Scientist,3,Single,5729,19038,0,No,13,3,1,2,11,3,3,5,2,5,1
1014,22,No,Travel_Rarely,Sales,1,3,Marketing,2,Female,3,2,Manager,2,Divorced,20000,22937,1,Yes,11,4,4,0,14,1,3,7,0,7,2
1015,35,No,Non-Travel,Sales,26,4,Other,4,Female,3,3,Manager,4,Single,13105,3412,3,No,19,4,2,0,8,1,3,0,0,0,0
1016,32,Yes,Travel_Rarely,Sales,6,3,Human Resources,1,Male,3,3,Sales Executive,4,Divorced,10626,4646,6,No,16,3,4,2,29,3,3,20,5,1,4
1017,37,No,Travel_Rarely,Sales,1,3,Marketing,3,Male,4,1,Manager,2,Single,19631,24798,8,No,17,3,2,1,19,2,3,12,2,0,7
1018,35,No,Travel_Rarely,Research & Development,6,4,Medical,3,Female,3,3,Research Scientist,1,Single,6194,7512,3,No,17,3,3,0,5,3,3,2,2,0,2
1019,37,No,Travel_Rarely,Research & Development,13,3,Life Sciences,4,Female,3,1,Research Scientist,1,Married,6820,15689,1,No,14,3,4,1,1,3,2,0,0,0,0
1020,42,Yes,Travel_Rarely,Sales,15,3,Life Sciences,4,Male,3,3,Sales Executive,2,Married,6030,21338,1,Yes,15,3,4,2,10,1,2,1,1,1,0
1021,32,Yes,Travel_Rarely,Research & Development,17,3,Medical,3,Male,2,1,Research Scientist,1,Married,5221,8814,6,No,19,3,3,0,4,3,2,0,0,0,0
1022,35,No,Travel_Rarely,Sales,7,4,Marketing,3,Male,3,2,Sales Representative,3,Married,3082,3171,2,No,15,3,4,2,6,5,3,0,0,0,0
1023,50,No,Travel_Rarely,Sales,18,2,Medical,4,Male,3,2,Manager,4,Single,17496,23917,1,No,16,3,2,1,6,1,3,5,1,1,2
1024,37,No,Travel_Rarely,Research & Development,6,1,Marketing,4,Male,3,1,Manager,4,Married,20000,4620,6,No,17,3,4,0,4,3,3,1,1,1,1
1025,35,No,Travel_Rarely,Research & Development,8,3,Medical,4,Male,3,1,Manufacturing Director,2,Married,19384,17995,1,No,16,3,4,0,8,2,3,3,3,2,1
1026,37,No,Travel_Rarely,Research & Development,12,5,Marketing,3,Male,3,2,Healthcare Representative,3,Married,7823,2815,3,No,14,3,2,0,38,2,3,31,2,2,4
1027,35,No,Travel_Rarely,Sales,4,3,Life Sciences,2,Male,4,2,Sales Executive,3,Divorced,5518,11530,3,No,14,3,3,0,17,2,3,8,1,0,4
1028,30,No,Non-Travel,Research & Development,1,4,Life Sciences,3,Male,3,4,Research Scientist,4,Married,7211,7895,0,Yes,17,2,2,2,25,2,3,20,8,1,3
1029,28,No,Non-Travel,Research & Development,3,4,Life Sciences,4,Male,2,1,Research Scientist,4,Married,3994,24531,1,No,17,3,3,1,6,0,4,1,1,1,1
1030,30,Yes,Travel_Rarely,Sales,8,3,Human Resources,2,Male,2,2,Sales Executive,4,Divorced,7471,3439,1,No,18,3,2,1,8,6,3,3,2,3,3
1031,44,No,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Female,4,2,Research Scientist,3,Divorced,4574,2839,3,No,16,3,3,1,8,3,3,5,2,5,1
1032,31,Yes,Travel_Rarely,Sales,1,4,Technical Degree,1,Male,1,2,Manager,4,Married,19004,15420,2,Yes,16,3,4,0,2,2,2,0,0,0,0
1033,35,Yes,Travel_Rarely,Sales,3,2,Life Sciences,3,Female,2,2,Sales Representative,1,Single,2117,10218,0,Yes,13,3,1,0,0,2,3,0,0,0,0
1034,43,No,Travel_Rarely,Human Resources,1,3,Medical,4,Female,2,1,Manager,3,Divorced,16905,7693,7,Yes,13,3,3,2,8,2,3,7,1,2,0
1035,34,Yes,Travel_Rarely,Human Resources,12,2,Human Resources,1,Male,3,3,Human Resources,2,Single,5667,2971,1,No,17,3,3,1,8,2,4,7,7,2,0
1036,42,Yes,Travel_Rarely,Research & Development,2,3,Medical,4,Male,3,2,Manufacturing Director,3,Single,15521,26803,1,No,13,4,4,1,12,2,4,3,2,0,3
1037,23,No,Travel_Rarely,Sales,1,4,Life Sciences,4,Male,1,1,Sales Representative,4,Married,4847,6907,1,No,14,3,3,3,10,2,3,4,2,4,1
1038,35,No,Travel_Rarely,Sales,10,3,Life Sciences,2,Male,3,2,Sales Representative,2,Married,4497,12710,1,Yes,19,3,3,0,8,2,3,3,3,3,3
1039,37,No,Travel_Frequently,Research & Development,16,3,Human Resources,4,Male,3,2,Laboratory Technician,1,Divorced,3455,9858,9,No,18,3,3,2,7,1,3,0,0,0,0
1040,37,No,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,2,Laboratory Technician,1,Married,2777,9403,1,Yes,15,3,2,2,10,3,3,2,2,0,1
1041,22,Yes,Non-Travel,Sales,2,3,Medical,4,Female,3,1,Sales Representative,1,Divorced,4229,12985,2,No,14,4,1,0,5,4,2,1,1,1,1
1042,47,Yes,Travel_Frequently,Research & Development,26,3,Medical,2,Male,3,1,Research Scientist,1,Single,7144,11748,5,No,14,3,3,0,2,1,3,0,0,0,0
1043,29,Yes,Non-Travel,Sales,4,4,Life Sciences,2,Female,3,2,Manager,1,Single,20000,19825,3,No,17,3,1,3,24,0,4,21,3,1,2
1044,40,No,Travel_Rarely,Human Resources,25,3,Life Sciences,2,Male,2,1,Human Resources,2,Married,3809,3458,1,Yes,14,3,3,0,13,1,3,6,2,2,5
1045,37,No,Travel_Rarely,Sales,2,4,Marketing,4,Female,3,2,Sales Representative,2,Divorced,5394,18442,5,Yes,13,3,3,0,11,5,3,9,0,5,2
1046,46,No,Travel_Rarely,Research & Development,2,1,Marketing,4,Male,3,3,Laboratory Technician,4,Married,3374,17632,3,Yes,18,3,3,1,3,4,2,2,2,1,2
1047,56,No,Travel_Rarely,Sales,2,2,Life Sciences,4,Male,3,4,Sales Representative,2,Single,4138,16383,1,No,15,3,2,1,9,3,3,3,1,1,0
1048,25,Yes,Travel_Rarely,Research & Development,1,3,Marketing,3,Male,4,3,Healthcare Representative,2,Single,8658,6355,3,No,13,3,4,1,4,5,3,1,1,1,1
1049,31,No,Travel_Rarely,Research & Development,20,3,Technical Degree,2,Female,4,3,Manager,3,Single,15105,25686,6,No,16,4,4,2,7,2,4,0,0,0,0
1050,38,Yes,Non-Travel,Sales,29,5,Human Resources,3,Male,4,2,Sales Executive,4,Married,8659,6176,2,No,17,3,2,2,1,6,3,1,1,0,1
1051,27,No,Travel_Rarely,Human Resources,27,5,Life Sciences,3,Female,4,5,Manager,4,Single,17208,20057,3,No,11,4,3,2,18,2,3,11,3,6,0
1052,44,Yes,Travel_Rarely,Research & Development,17,4,Life Sciences,4,Female,4,2,Research Scientist,2,Divorced,8105,24077,7,Yes,14,3,3,0,11,1,3,7,3,3,3
1053,44,Yes,Travel_Rarely,Human Resources,16,3,Technical Degree,3,Female,3,2,Manager,3,Married,16225,5513,3,Yes,14,3,2,1,6,3,1,5,3,3,5
1054,42,Yes,Travel_Rarely,Research & Development,9,5,Life Sciences,3,Male,3,1,Manager,4,Married,20000,20495,1,Yes,16,4,3,0,4,2,4,4,0,0,1
1055,39,No,Travel_Frequently,Research & Development,15,4,Life Sciences,3,Female,4,2,Laboratory Technician,4,Single,4299,22495,1,No,16,4,2,0,22,3,3,17,1,2,8
1056,49,Yes,Travel_Rarely,Human Resources,2,3,Technical Degree,2,Female,4,1,Manager,4,Single,20000,5131,2,No,13,3,4,1,8,2,4,0,0,0,0
1057,26,Yes,Travel_Frequently,Sales,4,4,Life Sciences,2,Male,2,2,Sales Executive,4,Married,6954,16595,1,No,11,3,4,0,10,3,3,2,2,0,2
1058,37,No,Travel_Rarely,Sales,9,1,Medical,1,Male,3,2,Manager,4,Divorced,18699,19239,6,Yes,18,3,3,2,11,2,3,3,2,2,3
1059,30,No,Travel_Rarely,Sales,18,2,Medical,3,Female,2,5,Manager,3,Married,15939,15491,2,No,11,3,3,0,13,0,2,10,6,1,4
1060,45,No,Travel_Rarely,Sales,9,4,Technical Degree,1,Female,4,5,Manager,3,Divorced,20000,14258,2,Yes,15,3,4,1,39,4,3,34,0,2,2
1061,20,Yes,Travel_Frequently,Research & Development,16,4,Life Sciences,2,Male,3,3,Laboratory Technician,4,Divorced,3084,17274,3,Yes,14,3,4,0,10,4,3,1,0,0,0
1062,36,No,Non-Travel,Sales,5,3,Human Resources,4,Female,2,2,Manager,4,Single,20000,14932,2,No,15,2,4,0,19,5,3,14,2,1,10
1063,40,Yes,Travel_Rarely,Research & Development,11,3,Medical,3,Male,3,4,Manufacturing Director,1,Single,13836,19076,1,No,19,3,2,1,16,3,3,12,10,0,2
1064,28,Yes,Travel_Rarely,Research & Development,29,4,Medical,4,Male,4,4,Manager,4,Married,20000,5837,0,No,24,3,2,0,2,3,2,1,1,1,0
1065,31,No,Travel_Rarely,Sales,1,4,Life Sciences,4,Male,3,4,Sales Executive,2,Married,4637,10702,2,No,11,3,4,1,9,3,4,3,2,2,3
1066,37,Yes,Travel_Frequently,Research & Development,23,3,Life Sciences,3,Male,3,3,Manufacturing Director,3,Single,12336,13719,5,Yes,17,3,3,2,3,1,4,3,2,3,2
1067,45,No,Travel_Rarely,Sales,6,2,Medical,4,Female,3,1,Manager,4,Married,17795,21895,3,Yes,14,3,1,1,31,1,2,26,0,1,0
1068,27,No,Travel_Frequently,Research & Development,9,2,Medical,1,Male,2,1,Manager,2,Married,17631,17599,1,Yes,18,3,1,0,5,2,4,1,1,0,0
1069,29,Yes,Travel_Rarely,Sales,18,5,Human Resources,4,Male,2,4,Manager,3,Divorced,16165,16121,1,Yes,17,3,4,0,15,4,3,11,4,11,0
1070,47,Yes,Travel_Rarely,Human Resources,4,3,Medical,4,Male,3,1,Human Resources,2,Single,4572,8304,4,Yes,19,3,4,0,9,1,3,2,1,1,2
1071,34,No,Travel_Rarely,Research & Development,4,3,Medical,4,Male,3,2,Healthcare Representative,3,Single,9287,21042,6,No,15,3,3,0,17,5,3,9,3,1,3
1072,30,No,Travel_Rarely,Sales,6,3,Medical,2,Female,3,2,Manager,2,Married,20000,26619,1,Yes,12,3,4,1,9,2,4,3,0,3,2
1073,43,No,Travel_Rarely,Sales,1,4,Marketing,3,Female,3,1,Manager,3,Married,20000,3176,3,No,17,3,3,0,15,3,2,6,6,0,6
1074,32,No,Travel_Rarely,Research & Development,6,3,Medical,2,Male,2,4,Healthcare Representative,3,Married,5827,2681,2,No,15,3,4,1,19,1,3,12,0,4,7
